235,Борщ сибирский,1.90,1.50,6.80,48
236,Борщ Сибирский с фрикадельками,5.80,5.30,5.00,82
237,Борщ украинский,1.10,2.20,6.70,49
238,Борщик Heinz с говядинкой,11.30,6.70,67.00,374
239,Боярышник,,,14.00,52
240,Боярышник сушеный,,,38.00,142
241,Бразильский орех,14.30,66.40,4.80,656
242,Бренди,0.00,0.00,0.75,225
243,Брецель,20.00,6.00,35.00,300
244,Бриошь,5.20,7.50,57.20,304
245,Бротола,19.40,1.60,,92
246,Брускетта,4.70,23.00,21.70,315
247,Брусника,0.70,0.50,9.60,43
248,Брусника 4 сезона,0.70,0.50,8.20,40
249,Брусника Hortex,0.70,0.40,7.50,36
250,Брусника мочёная,0.30,0.20,5.30,24
251,Брюква,1.20,0.10,7.70,37
252,Брюква запечённая,2.10,1.60,7.50,51
253,Брюква тушеная,1.20,8.50,8.60,114
254,Бублик,16.00,1.00,70.00,336
255,Бублик Украинский,8.30,6.40,58.20,328
256,Бублик Ярмарочный,8.50,7.00,58.30,330
257,Буженина вареная,16.40,18.30,1.00,233
258,Бузина,0.70,0.50,11.40,73
259,Бузинный сок,1.10,0.20,5.10,27
260,Буйволятина,19.00,13.20,,194
261,Буйволятина вареная,30.00,17.40,,276
262,Буйволятина жареная,33.40,23.20,,342
263,Буйволятина тушеная,24.40,16.90,,250
264,Букатини,12.00,1.20,71.00,350
265,Букет гарни,12.40,6.50,26.00,259
266,Буковый орех,6.20,50.00,33.50,576
267,Булгур,12.30,1.30,57.60,342
268,Булгур приготовленный,3.10,0.20,14.10,83
269,Булочка к чаю,7.20,6.20,51.00,317
270,Булочка Калорийная,7.30,9.60,62.40,363
271,Булочка отрубная,7.80,1.80,43.90,220
272,Булочка Столичная,8.40,2.20,52.80,270
273,Булочки 8 злаков,13.90,5.30,43.70,277
274,Булочки Бургундские,0.70,1.70,55.00,266
275,Булочки Бутербродные с кунжутом,9.60,4.20,59.50,320
276,Булочки для гамбургеров,7.00,4.00,52.00,272
277,Булочки для хот-догов,8.70,7.50,60.60,339
278,Булочки сдобные,7.90,9.40,55.50,339
279,Бульон говяжий,0.60,0.20,,4
280,Бульон грибной,0.50,0.10,,3
281,Бульон куриный,2.00,0.50,0.30,15
282,Бульон куриный крепкий домашний,2.50,1.20,3.50,36
283,Бульон куриный постный,0.10,,,1
284,Бульон овощной,0.20,0.10,0.90,5
285,Бульон рыбный,0.40,,,2
286,Бульонный кубик,2.00,2.00,4.00,40
287,Бумбу,1.00,0.80,11.30,61
288,Бурбон,,,0.40,235
289,Бутанику кадзукири,3.20,5.10,24.20,156
290,Бутанику рёри,16.60,22.20,3.40,280
291,Бычки в томатном соусе,17.50,2.00,,88
292,Бычок,17.50,2.00,,88
293,Бычьи яйца,13.00,20.00,0.10,230
294,Валериана,,,,
295,Валуи,3.70,1.70,1.10,29
296,Ванилин,0.10,0.10,12.70,288
297,Ваниль,1.20,0.10,12.50,287
298,Ванильная эссенция,0.10,0.10,12.60,288
299,Ванильный порошок,1.20,0.10,12.50,287
300,Варенец 2.5%,2.80,2.50,4.00,50
301,Варенец Останкинский 2.5%,2.80,2.50,4.20,51
302,Вареники от Ильиной с вишней,7.60,,18.70,105
303,Вареники от Ильиной с картофелем,4.40,3.70,18.50,125
304,Вареники от Ильиной с клубникой,7.90,,17.60,205
305,Вареники от Ильиной с творогом,12.00,4.20,17.00,154
306,Вареники от Ильиной с черникой,7.60,,18.70,105
307,Вареники Хвалынские с картошкой и грибами,6.00,3.60,32.00,184
308,Варенье из абрикосов,,,62.00,236
309,Варенье из айвы,0.40,0.20,70.60,273
310,Варенье из апельсинов,2.60,0.50,70.00,245
311,Варенье из брусники,0.20,0.10,64.60,244
312,Варенье из вишни,,,64.00,256
313,Варенье из груши,0.30,0.20,70.80,273
314,Варенье из дыни,0.30,0.10,44.70,197
315,Варенье из земляники,0.30,0.10,58.00,219
316,Варенье из инжира,,,62.00,236
317,Варенье из кабачков,0.30,0.10,48.90,196
318,Варенье из клубники,0.30,0.10,74.00,285
319,Варенье из лимонов,,,60.00,240
320,Варенье из малины,0.60,0.20,70.40,273
321,Варенье из мандаринов,0.70,0.20,75.90,294
322,Варенье из облепихи,0.70,3.70,34.40,165
323,Варенье из одуванчиков,0.60,0.10,48.00,191
324,Варенье из персиков,0.50,,66.80,258
325,Варенье из ревеня,0.50,0.50,82.40,314
326,Варенье из сливы,0.40,0.30,74.20,288
327,Варенье из тёрна,,,62.00,248
328,Варенье из черники,0.40,0.20,56.10,214
329,Варенье из черноплодной рябины,0.40,,74.80,387
330,Варенье из чёрной смородины,0.60,0.10,72.90,284
331,Варенье из яблок,0.40,0.30,68.20,265
332,Васаби игай-яки,4.50,8.00,11.50,136
333,Васаби Сэн Сой Премиум,,9.00,40.00,241
334,Ватрушка с творожной начинкой,10.00,12.10,46.10,331
335,Вафли MyProtein Wafers,35.80,21.50,31.00,466
336,Вафли венские с карамелью,8.10,19.40,53.30,424
337,Вафли венские со взбитыми сливками,4.80,23.30,50.50,489
338,Вафли с жирной начинкой,3.40,30.20,64.70,539
339,Вафли с фруктовой начинкой,3.20,2.80,80.90,350
340,Вафли Сдобная особа домашние с изюмом,7.90,21.70,55.80,452
341,Вафли Сдобная особа домашние сахарные,8.20,23.10,54.40,459
342,Вафли Сдобная особа мягкие с суфле классические,5.50,23.90,52.20,446
343,Вафли Сдобная особа мягкие с суфле со вкусом пломбира,5.50,23.90,52.20,446
344,Вафли Яшкино с карамельной начинкой,6.00,15.20,67.90,430
345,Венерка,14.70,1.00,3.60,86
346,Верблюжатина,18.90,9.40,,160
347,Верблюжатина вареная,29.80,12.40,,230
348,Верблюжатина жареная,33.30,16.50,,281
349,Верблюжатина тушеная,24.30,12.10,,205
350,Вермишель Makfa яичная длинная,11.30,2.10,69.60,342
351,Вермишель Myllyn Paras,10.40,1.10,71.50,344
352,Вермишель Бефстроганов соевая,48.90,2.30,8.90,254
353,Вермишелька Heinz звездочки Любопышки,10.30,1.30,78.60,367
354,Вермут,,,15.90,158
